author,lng,lat
William Shakespeare,-11.7758,-25.643
Agatha Christie,11.2944,-43.0197
John Grisham,-5.1513,-46.9268
Henry James,4.2161,-32.9416
Stephen King,-16.7315,-38.2832
Mark Twain,-22.0216,-22.0029
Michael Crichton,-15.9422,-32.8898
Charles Dickens,-15.9895,-33.1037
Anthony Trollope,-7.2545,-45.1983
Robert Louis Stevenson,-6.6542,-45.2009
Jane Austen,0.829,-30.0173
Janet Evanovich,8.3723,-41.7897
Tom Clancy,6.759,-43.4125
Danielle Steel,5.268,-43.8903
Joseph Conrad,-19.9995,-33.7819
C. S. Lewis,-8.5458,-7.9113
Jonathan Kellerman,7.4503,-45.3898
Louisa May Alcott,-13.585,-34.877
Beatrix Potter,4.502,-37.4875
George Eliot,-14.6494,-32.624
Piers Anthony,-2.3672,-49.9143
Catherine Coulter,-6.0149,-44.7935
Robin Cook,-8.2943,-46.2648
William W. Johnstone,-15.223,-38.4618
Jack London,17.0485,-15.8004
Ken Follett,2.6654,-48.8571
Anne McCaffrey,-10.9086,-36.4193
Dean Ray Koontz,-5.2955,-47.4529
Beverly Cleary,-13.036,-44.2361
Terry Pratchett,-14.9733,-36.2281
Edith Wharton,-9.6485,-22.8946
Nora Roberts,-20.1304,-35.9489
Anne Rice,-17.2145,-36.7454
Roald Dahl,13.608,-29.9624
Virginia Woolf,3.0624,-37.7685
Andrew M. Greeley,40.2429,-19.2574
Robert Ludlum,1.5399,-46.2255
Sue Grafton,-31.3075,-19.8649
Icon Reference,-18.1986,-7.8356
Philip K. Dick,-5.2018,-45.7317
Laura Ingalls Wilder,-7.4291,-44.7322
Ursula K. Le Guin,2.8751,-10.8534
Thomas Hardy,-10.3019,-40.0722
Plato,5.913,-19.2569
Ray Bradbury,-1.3542,-50.2593
David Eddings,3.6156,-21.7458
Diana Wynne Jones,13.2677,-47.1642
Clive Cussler,3.3833,-39.961
John Steinbeck,-6.1858,-43.0147
Nathaniel Hawthorne,-4.7731,-40.2742
R. L. Stine,-4.3122,-45.7679
Anne Perry,-17.8923,-36.4981
Isaac Asimov,-14.2475,-34.4583
Gary Soto,-2.0775,-46.5093
Edgar Rice Burroughs,-3.0742,-48.2475
Anne Tyler,-17.8277,-30.9915
Jayne Ann Krentz,-14.6305,-34.1097
Jane Yolen,8.7101,-47.1747
Margaret Atwood,-17.9015,-31.2035
ICON Reference,-18.0188,-7.645
